in-store_num,region_num,TransactionType,RegionName,Age,AgeGroup,ItemsPerPurchcase,AmountGroup,AmountPerPurchase,AmountPerItem
0,2,online,South,37,31-45,4,5-285,281.03,70.26
0,2,online,South,35,31-45,2,5-285,219.51,109.76
1,4,in-store,West,45,31-45,3,1234-3000,1525.7,508.57
1,3,in-store,East,46,46-61,3,583-1233,715.25,238.42
1,1,in-store,North,33,31-45,4,1234-3000,1937.5,484.38
0,4,online,West,24,18-30,3,1234-3000,1314.2,438.07
0,2,online,South,43,31-45,6,5-285,8.5472,1.42
1,3,in-store,East,66,62-85,5,583-1233,819.98,164.00
1,1,in-store,North,51,46-61,5,583-1233,908.31,181.66
1,1,in-store,North,47,46-61,3,583-1233,767.54,255.85
1,3,in-store,East,44,31-45,5,5-285,122.39,24.48
1,1,in-store,North,33,31-45,2,583-1233,684.32,342.16
0,2,online,South,32,31-45,2,5-285,58.997,29.50
1,3,in-store,East,48,46-61,7,286-582,529.57,75.65
1,4,in-store,West,34,31-45,6,5-285,270.49,45.08
0,3,online,East,43,31-45,7,1234-3000,1585.1,226.44
1,1,in-store,North,20,18-30,7,1234-3000,1901.3,271.61
1,3,in-store,East,43,31-45,4,5-285,165.48,41.37
0,4,online,West,35,31-45,2,1234-3000,2791.6,1395.80
0,4,online,West,58,46-61,7,583-1233,1225.8,175.11
0,4,online,West,37,31-45,7,583-1233,1022.6,146.09
0,3,online,East,49,46-61,5,1234-3000,2524.4,504.88
1,1,in-store,North,55,46-61,4,5-285,267.18,66.80
1,1,in-store,North,31,31-45,6,583-1233,901.7,150.28
1,4,in-store,West,53,46-61,2,5-285,283.5,141.75
1,4,in-store,West,21,18-30,5,5-285,113.65,22.73
0,2,online,South,42,31-45,5,5-285,114.49,22.90
1,4,in-store,West,40,31-45,5,583-1233,1151.7,230.34
1,3,in-store,East,31,31-45,4,5-285,246.61,61.65
0,4,online,West,28,18-30,7,583-1233,623.05,89.01
1,1,in-store,North,59,46-61,3,286-582,346.26,115.42
1,4,in-store,West,41,31-45,3,583-1233,935.72,311.91
1,3,in-store,East,74,62-85,6,583-1233,652.57,108.76
1,3,in-store,East,49,46-61,7,583-1233,987.98,141.14
1,3,in-store,East,55,46-61,1,5-285,120.47,120.47
1,3,in-store,East,40,31-45,6,583-1233,649.27,108.21
1,3,in-store,East,66,62-85,6,286-582,429.13,71.52
1,4,in-store,West,19,18-30,7,5-285,271.71,38.82
0,2,online,South,43,31-45,1,286-582,472.69,472.69
0,3,online,East,20,18-30,8,5-285,261.1,32.64
0,2,online,South,54,46-61,4,286-582,456.25,114.06
0,2,online,South,55,46-61,5,5-285,274.09,54.82
0,3,online,East,57,46-61,4,1234-3000,2289.2,572.30
0,3,online,East,44,31-45,1,583-1233,861.21,861.21
1,4,in-store,West,30,18-30,4,583-1233,856.26,214.07
1,4,in-store,West,46,46-61,3,583-1233,754.08,251.36
0,3,online,East,27,18-30,6,583-1233,592.34,98.72
1,4,in-store,West,20,18-30,2,583-1233,906.9,453.45
0,4,online,West,57,46-61,3,286-582,505.34,168.45
1,4,in-store,West,51,46-61,5,583-1233,901.74,180.35
0,4,online,West,30,18-30,6,1234-3000,1612.9,268.82
0,2,online,South,74,62-85,3,286-582,473.62,157.87
1,4,in-store,West,20,18-30,3,5-285,127.09,42.36
1,4,in-store,West,38,31-45,4,1234-3000,1825.3,456.33
0,2,online,South,44,31-45,7,5-285,245.28,35.04
1,4,in-store,West,26,18-30,1,1234-3000,1448.6,1448.60
1,1,in-store,North,36,31-45,7,5-285,96.541,13.79
0,4,online,West,53,46-61,5,1234-3000,2952.8,590.56
1,1,in-store,North,22,18-30,2,583-1233,1008.2,504.10
